Max Plume Concentration (ppm m),UTC Time Observed,Latitude of max concentration,Longitude of max concentration,Concentration Uncertainty (ppm m)
6151.0,2023-04-29T05:08:11Z,36.54967262254311,61.568328658768785,212.0
1970.0,2023-04-29T05:08:11Z,36.476471232308505,61.63014316607801,174.0
1310.0,2023-04-29T05:08:11Z,36.61419829245362,61.64966353680724,185.0
1058.0,2023-04-29T05:08:11Z,36.59901578188644,61.601947075024675,227.0
2149.0,2023-04-29T05:08:11Z,36.20372827461955,61.595982517301856,369.0
2437.0,2023-04-29T05:08:11Z,36.307294685988516,61.86276091726799,259.0
3677.0,2023-04-29T05:08:11Z,36.421163515242355,61.70442902135313,169.0
14967.0,2023-04-30T05:55:56Z,30.06294498271623,51.54461828930963,907.0
1987.0,2023-04-30T05:55:56Z,29.42961739905679,52.70499588265825,403.0
1296.0,2023-04-30T07:28:53Z,29.55107748359423,28.546910407676343,246.0
1957.0,2023-04-30T07:28:53Z,29.602047340498327,28.620111797910955,402.0
1296.0,2023-04-30T07:28:53Z,29.5613799014791,28.822364527966577,206.0
1307.0,2023-04-30T07:28:53Z,29.716458402272423,28.638005471079413,226.0
2821.0,2023-04-30T16:44:07Z,34.447437141509226,-118.63343149559024,676.0
2847.0,2023-05-02T04:22:34Z,27.03620305464521,67.41251076209196,530.0
2247.0,2023-05-02T04:22:34Z,27.001500173348802,67.5572868450004,465.0
9444.0,2023-05-02T04:22:34Z,25.79557504829864,68.69489067249827,820.0
2052.0,2023-05-02T07:27:54Z,28.129886048002287,18.793231833304795,385.0
3249.0,2023-05-04T13:54:42Z,-22.81448592764421,-47.2409289485561,606.0
5739.0,2023-05-04T13:54:42Z,-23.350753890177756,-46.776235678696395,661.0
3934.0,2023-05-04T13:54:42Z,-23.64139052103517,-46.42649570313104,761.0
3771.0,2023-05-04T13:54:42Z,-23.40389267716288,-46.561511600674876,773.0
1019.0,2023-05-26T14:21:26Z,31.76663956136168,5.942863335749133,293.0
1866.0,2023-05-26T14:21:26Z,31.77206188656424,5.99112203005195,444.0
1185.0,2023-05-26T14:21:26Z,31.8024269076986,5.9000269666488805,340.0
2142.0,2023-05-27T13:32:35Z,28.637415686962267,7.615108428219755,337.0
959.0,2023-05-29T11:57:40Z,29.249053969811417,21.552653128889396,224.0
15020.0,2023-05-30T09:37:28Z,30.06294498271617,51.54624498687036,833.0
1481.0,2023-05-31T10:23:16Z,31.946660758086832,36.23197191726979,290.0
2282.0,2023-05-31T10:23:16Z,35.04823077395325,40.69671448906071,486.0
3125.0,2023-06-01T09:36:23Z,33.46979190748692,44.47119506256526,390.0
3149.0,2023-06-02T07:19:17Z,42.015918659247525,86.55386095966189,663.0
2363.0,2023-06-03T07:59:14Z,28.9974580804124,51.946412586819605,365.0
2215.0,2023-06-03T07:59:14Z,29.43015963157698,52.70391141761775,2512.0
4419.0,2023-06-03T08:03:27Z,39.917478805855424,65.90456212325891,772.0
2357.0,2023-06-03T09:32:09Z,29.60313180553878,28.617400635309593,199.0
1255.0,2023-06-03T09:32:09Z,29.54457069335109,28.542572547514215,304.0
